slide_index,slide_title,figure_file,figure_data_csv,definition
65,Appendix --- Emotional-Rhetoric Shift Contributions by Party --- Ständerat,staenderat_fig_emotion_shift_within_topic_driver_table.pdf,staenderat_fig_emotion_shift_within_topic_driver_table.csv,"Within-topic emotional-rhetoric shift, decomposed by party (pp)."
66,Appendix --- Emotional Rhetoric by Topic --- 2000--05 vs 2020--24 --- Ständerat,staenderat_fig_lt_defD_by_topic.pdf,staenderat_fig_lt_defD_by_topic.csv,Within-topic shift in emotional-rhetoric share (pp).
67,Appendix --- Gender Representation by Party --- Ständerat,staenderat_fig_lt_gender_mp_vs_speeches_party.pdf,staenderat_fig_lt_gender_mp_vs_speeches_party.csv,"Female share among MPs vs among speeches, by party (%)."
68,Appendix --- Canton Share of Speeches --- Ständerat,staenderat_fig_lt_canton_share.pdf,staenderat_fig_lt_canton_share.csv,Speech share per canton (%).
69,Appendix --- Canton Speeches per MP --- Ständerat,staenderat_fig_lt_canton_per_mp.pdf,staenderat_fig_lt_canton_per_mp.csv,Speeches per MP by canton.
70,Appendix --- Floor-Time Gap by Canton --- Ständerat,staenderat_fig_lt_canton_gap.pdf,staenderat_fig_lt_canton_gap.csv,Speech share vs MP share gap (pp) by canton.
71,Appendix --- Emotional Rhetoric by Generation of MPs --- Ständerat,staenderat_fig_lt_cohort_emotional.pdf,staenderat_fig_lt_cohort_emotional.csv,Share of emotional speeches by speaker birth decade (%).
72,Appendix --- Emotional Rhetoric by Age Group --- Ständerat,staenderat_fig_lt_age_group_emotional.pdf,staenderat_fig_lt_age_group_emotional.csv,Share of emotional speeches by age group (%).
73,Appendix --- Emotional Rhetoric by Language of the Speech --- Ständerat,staenderat_fig_lt_emotion_language.pdf,staenderat_fig_lt_emotion_language.csv,Share of emotional speeches by language (%).
74,Appendix --- Applause by Party --- Ständerat,staenderat_fig_app_rate_by_party.pdf,staenderat_fig_app_rate_by_party.csv,"Share of speeches followed by an applause or laughter bracket, by party (%)."
74,Appendix --- Applause by Party --- Ständerat,staenderat_fig_app_type_by_party.pdf,staenderat_fig_app_type_by_party.csv,"Applause vs laughter brackets, by party (%)."
75,Appendix --- Most Applauded Parliamentarians --- Ständerat,staenderat_fig_app_top_mps.pdf,staenderat_fig_app_top_mps.csv,Top 25 MPs by total applause/laughter brackets.
76,Appendix --- Emotional-Rhetoric Shift Contributions by Party --- Nationalrat,nationalrat_fig_emotion_shift_within_topic_driver_table.pdf,nationalrat_fig_emotion_shift_within_topic_driver_table.csv,"Within-topic emotional-rhetoric shift, decomposed by party (pp)."
77,Appendix --- Emotional Rhetoric by Topic and Party --- Nationalrat,fig_lt_emotionality_topic_by_party_heatmap.pdf,fig_lt_emotionality_topic_by_party_heatmap.csv,Mean share of emotional speeches per topic × party (%).
78,"Appendix --- Emotional Rhetoric by Topic, One Panel per Party --- Nationalrat",fig_lt_emotionality_topic_by_party_bars.pdf,fig_lt_emotionality_topic_by_party_bars.csv,Mean share of emotional speeches per topic × party (%).
79,Appendix --- Emotional-Rhetoric Shift by Topic and Party --- Nationalrat,fig_lt_defD_topic_shift_party.pdf,fig_lt_defD_topic_shift_party.csv,Within-topic emotional-rhetoric shift by party (pp).
80,Appendix --- Emotional-Rhetoric Shift by Topic and Party --- Ständerat,staenderat_fig_lt_defD_topic_shift_party.pdf,staenderat_fig_lt_defD_topic_shift_party.csv,Within-topic emotional-rhetoric shift by party (pp).
81,Appendix --- Anger by Party --- Nationalrat,fig_lt_llm_anger_share_party_facet.pdf,fig_lt_llm_anger_share_party_facet.csv,"Share of speeches with dominant emotion = anger, by year × party (%)."
82,Appendix --- Enthusiasm by Party --- Nationalrat,fig_lt_llm_enthusiasm_share_party_facet.pdf,fig_lt_llm_enthusiasm_share_party_facet.csv,"Share of speeches with dominant emotion = enthusiasm, by year × party (%)."
83,Appendix --- Fear by Party --- Nationalrat,fig_lt_llm_fear_share_party_facet.pdf,fig_lt_llm_fear_share_party_facet.csv,"Share of speeches with dominant emotion = fear, by year × party (%)."
84,Appendix --- Sadness by Party --- Nationalrat,fig_lt_llm_sadness_share_party_facet.pdf,fig_lt_llm_sadness_share_party_facet.csv,"Share of speeches with dominant emotion = sadness, by year × party (%)."
85,Appendix --- Disgust by Party --- Nationalrat,fig_lt_llm_disgust_share_party_facet.pdf,fig_lt_llm_disgust_share_party_facet.csv,"Share of speeches with dominant emotion = disgust, by year × party (%)."
86,Appendix --- Anger by Party --- Ständerat,staenderat_fig_lt_llm_anger_share_party_facet.pdf,staenderat_fig_lt_llm_anger_share_party_facet.csv,"Share of speeches with dominant emotion = anger, by year × party (%)."
87,Appendix --- Enthusiasm by Party --- Ständerat,staenderat_fig_lt_llm_enthusiasm_share_party_facet.pdf,staenderat_fig_lt_llm_enthusiasm_share_party_facet.csv,"Share of speeches with dominant emotion = enthusiasm, by year × party (%)."
88,Appendix --- Fear by Party --- Ständerat,staenderat_fig_lt_llm_fear_share_party_facet.pdf,staenderat_fig_lt_llm_fear_share_party_facet.csv,"Share of speeches with dominant emotion = fear, by year × party (%)."
89,Appendix --- Sadness by Party --- Ständerat,staenderat_fig_lt_llm_sadness_share_party_facet.pdf,staenderat_fig_lt_llm_sadness_share_party_facet.csv,"Share of speeches with dominant emotion = sadness, by year × party (%)."
90,Appendix --- Disgust by Party --- Ständerat,staenderat_fig_lt_llm_disgust_share_party_facet.pdf,staenderat_fig_lt_llm_disgust_share_party_facet.csv,"Share of speeches with dominant emotion = disgust, by year × party (%)."
